graph,algorithm,crossings,crossings_pct_vs_baseline,crossings_pct_vs_ebc,mean_edge_length,mean_edge_length_pct_vs_baseline,mean_edge_length_pct_vs_ebc,path_continuity,path_continuity_pct_vs_baseline,path_continuity_pct_vs_ebc,runtime_s
dutch_criticism,EBC,129,-30.27027027027027,0.0,0.0972199218787619,-26.315548916607153,0.0,49.14628961883785,-1.82104501269478,0.0,1.02
blumenau_drug,EBC,588,-9.399075500770415,0.0,0.1029576664317402,-19.95946848578108,0.0,65.2941383129064,6.817055976685593,0.0,3.6
elite,EBC,125,-26.900584795321638,0.0,0.1659429539803741,-5.609263201184167,0.0,61.63331586264937,-1.449425294089938,0.0,2.98
cs_department,EBC,3015,0.0,0.0,0.1599372982684661,-6.959474032546176,0.0,46.352855052362735,-1.9385688888820525,0.0,10.3
fullerene_structures/C180,EBC,82,-2.380952380952381,0.0,0.0901777437153556,0.7801658548318957,0.0,60.46138076993664,-0.5844541795591547,0.0,4.82
adjnoun,EBC,6210,-8.339483394833948,0.0,0.0903375266949492,-38.75466229312597,0.0,65.28602951023737,0.3944512593817626,0.0,19.45
fullerene_structures/C240,EBC,110,0.0,0.0,0.0777576566431313,-0.18728949863974872,0.0,60.61261508875327,-0.2629797286156901,0.0,6.46
fullerene_structures/C260,EBC,125,-3.10077519379845,0.0,0.0742974915711666,1.3995294218485437,0.0,60.77479631187736,0.1449194328192377,0.0,12.54
celegans_interactomes/BPmaps,EBC,90,-44.099378881987576,0.0,0.0410411891092564,-12.146865757576963,0.0,51.87934534251081,2.410646752889217,0.0,34.72
facebook_organizations/S2,EBC,8468,-5.131077750392113,0.0,0.0900465551776265,-8.121675136959647,0.0,51.2797307360587,3.4850020537408835,0.0,43.52
fullerene_structures/C60,EBC,22,-8.333333333333334,0.0,0.1487772898408406,-3.9233206474522517,0.0,63.501457380064736,0.2843296590817243,0.0,0.69
fullerene_structures/C320,EBC,153,-5.555555555555555,0.0,0.0642169496943626,-3.615532780958461,0.0,59.358082767703266,-2.0790663530000106,0.0,30.02
game_thrones,EBC,1811,-18.789237668161434,0.0,0.0925383492442506,-1.9486471482923733,0.0,47.27999853754621,2.6891274667601297,0.0,8.17
kangaroo,EBC,421,-9.656652360515022,0.0,0.1476959963200912,-37.02062504884702,0.0,26.410568459810023,22.52122921035747,0.0,1.24
karate/77,EBC,52,-22.388059701492537,0.0,0.122873462422017,-18.96165134228753,0.0,37.55461259855265,-3.4045030235926363,0.0,0.83
karate/78,EBC,57,-16.176470588235293,0.0,0.1272357040320231,-20.923513805544072,0.0,37.49130781254565,-2.2303491449754524,0.0,0.53
football_tsevans,EBC,4572,-17.47292418772563,0.0,0.1555523186757137,-15.18434097343611,0.0,66.9943137751778,3.947570123435374,0.0,57.07
football,EBC,4572,-17.47292418772563,0.0,0.1555523186757137,-15.18434097343611,0.0,66.9943137751778,3.947570123435374,0.0,58.93
interactome_pdz,EBC,76,-13.636363636363637,0.0,0.0599174117229074,-11.769824098648403,0.0,51.7944859989751,9.411471693778484,0.0,5.54
malaria_genes/HVR_3,EBC,50,-19.35483870967742,0.0,0.1450715922964114,-7.131373604504763,0.0,18.5599648496399,-22.228467038851758,0.0,0.49
lesmis,EBC,685,-7.681940700808625,0.0,0.0812256747001668,-23.263434504695695,0.0,46.283936298405955,2.3741748807927054,0.0,5.28
macaque_neural,EBC,2605,-1.8462697814619442,0.0,0.1789375008478853,-9.582877605143436,0.0,39.032401603125905,4.617497344969202,0.0,12.17
mist/ppi_zebrafish,EBC,5,-54.54545454545455,0.0,0.0806736963528718,-9.132173496905821,0.0,36.30764322143207,-0.007036199180694315,0.0,6.02
montreal,EBC,138,-18.823529411764707,0.0,0.1142537167131927,-35.70108132773856,0.0,45.40133832803786,0.5886644612102381,0.0,0.32
